"US","Baker-Smith","Baker-Smith","Rose-Marshall","Tree surgeon",96970,6150704144,"Jodiborough","181-355-6074x519","MA","078 Sandra Dale","-88.9143315:110.627845"," ","23730f8dc73d289956aa68085877949d","387-022-7645","robinsonmelissa@ruiz-mcdonald.net","17-1894176","Keith Smith"
"ashley75@hotmail.com","Herrera, Larson and Russo","5c71a18ca3666c45c9a407798fd43fa7"," ","CA","Research scientist (life sciences)","71-5108160","343 Brown Springs",3429263928,"Carl Davis","Jasonstad","36.9767415:-129.704402","(199) 377-5764 x023","Brown-Aguilar","154-004-3146","Herrera, Larson and Russo","NS","M1N 4H2"
"bowen@swanson-griffin.net","(761)614-1753","NH","Paul, Smith and Davis","81-9176206","Mikehaven","Agricultural consultant"," ","-29.3901395:-124.187055","(165)901-9401x5972",5402918636,"7609 Brown Track Suite 815","U.S.A","Le Inc",13202,"5a27e7d7ba16f6bf285c19b1230dc193","Laura White","Rodriguez, Harris and Richmond"
"dianejones@rogers.com","78-9160084","432-820-7617x0014","US","171-086-7249x709",5158279404,"9605 Matthew Rest","Davis, Gonzalez and Kerr","7313bd289d81c35f56c904ca997964de","South Elizabeth","Smith, Lane and Johnson","Virginia","David Bean","-13.0339985:-4.616639","Smith, Lane and Johnson","Accommodation manager"," ",10449
"4.358266:-123.750807","Davis, Mcclain and Clark"," ","Nova Scotia","23-2950846","M4K6T9","217da7b136951da6dbdb3235e71067b0","119 Curtis Fields Apt. 974","sylviarodriguez@matthews.com","Manuelmouth","+1 (547) 885-7040",6453803003,"Canada","Roth and Sons","(290) 367-6879 x451","Davis, Mcclain and Clark","Michael Wise","Commissioning editor"
3328400380,"Woods, Gordon and Mccullough",91560,"+26(4)5521797309","-6.421143:90.827419","Utah","Neurosurgeon","c14fd5c7c5448beb0e1ef4240b248566","330 Ryan Ridges"," ","Oneill-Ho","South Shannon","27-2612358","U.S.","yangjessica@brown.org","487-835-2710","Douglas-Taylor","Brian Spencer"
"dc041b806abcb6d7f973042c0cea50fe","1-776-863-2491","Mary Gardner"," ","L4B 8P4","james36@yahoo.com","Collins, Martin and Gardner","53-2859330","11.1475245:105.812615",8275490294,"New Kevin","Ontario","Henderson Group","Plant breeder/geneticist","Canada","61432 Hansen Light","Collins, Martin and Gardner","+1 (258) 923-0878"
"Bradley, Hall and Cohen","13-3475413","Murray-Bishop","North Ianfort","Housing manager/officer","AS","(188)352-4821","486-577-6644","-78.7862795:-106.643953","US","Cordova-Jones"," ",5321280157,41563,"donaldbass@long.com","a50b568f5860bd6914d802fcd7ff5b05","3880 Emily Way","Kevin Curtis"
"West Josephmouth","445-468-3714",3196044485,"Professor Emeritus","Gibson and Sons","30.3889085:43.329391","43-8461350","Silva-Calderon","e256ded01bce366a83b62773466f3304",36822,"Gould-Blake","USA","Apt. 054","lisabrady@gmail.com","5419 Pope Valleys","1 (533) 545-6978","Kristi Schultz","Utah"
"T6R 6R2","Mcneil PLC","Terrence Baldwin","Newfoundland and Labrador","54-1602751","704-895-3572 x110"," ","34.9285595:135.968128","Whitaker, Carr and Robinson","1-165-317-2304","Clothing/textile technologist","West Michael","Whitaker, Carr and Robinson","Canada","jonathanhernandez@yahoo.com","905 Walker Burgs",6640013910,"7241e2d773c5ad47cc280eb7fee1c099"
"(418) 947-1738 x056","41.0029805:-165.070771","Courtney Williams","a7cacc00f48fad43c293853f0b504c56",4905707238,"Port Michele","Carter LLC","(703) 675-5701 x054"," ","226 Williams Keys Suite 359","Cook-Collins","Fletcher Ltd","Lecturer, further education","smithcory@hotmail.com","18-9239824","New Brunswick","V6R 5V1","Canada"
"Production designer, theatre/television/film","Hughesmouth","Smith and Sons","FL",10830,"US","Rodriguez PLC","-15.9679015:-92.325993",7176934770,04783347494," ","673 Adam Field Suite 299","43-3251526","Vanessa Curtis DVM","cbishop@wright.info","Olson-Taylor","f8f504c1ad07de69a816afc2f9eab3c2","144.901.3974"
"Engineer, broadcasting (operations)",20255,"Hughesbury","325 Melissa Port Suite 802",4130132195,"bdurham@owens.info","-1.4583695:-112.362049","AL","US","Joshua Wallace"," ","695 233 7777","Harding LLC","cce128e374d7e0f0594066914471e917","Boyd, Wilson and Horn","67-6285250","Dillon-Bright","007.159.0911x2701"
"a408950a90576f2aa1ca3a231327ce77","Publishing copy","1-590-294-5811","Sutton, Farley and Cook","VI","Port Jonathanchester",3590536445,"Cabrera-Adams"," ","51-4815986",20831,"Cabrera-Adams","+1 (496) 697-1090","Kendra Fernandez","-59.274721:-41.399198","204 Lisa Lodge Suite 641","United States of America","bmartinez@torres.com"
" ","308.269.5547","7221744c74c5a3f4ee419b580acb6c4d","Martinez-Wright","Woodburgh","Dominguez LLC","hodgeseric@gmail.com","Estate manager/land agent","(416) 874-9981","PE","26-3282873","E6V9L5","063 Cline Islands Suite 980","Lindsey Hayes","83.814411:-43.085737","CA","Dominguez LLC",4739363630
" ","0c522a33e3b7feec041d1fdcb92480fd","CA","Townsend, Calhoun and Gray","114 242 2643","E3R1L9","Hale, Griffin and Campbell","Hicksfurt","Teacher, English as a foreign language","Yukon Territory","Hale, Griffin and Campbell","James Dillon","7764 Mario Summit Suite 931","(630) 281-0233 x772","samuelpittman@gmail.com",2923324766,"94-9962331","-15.9991285:-27.999842"
"Minnesota","-83.7523435:74.464000",9254621487,"204-109-4412x72844","Learning disability nurse","Gina Patterson","Elliott, Rodriguez and Bowen","7252 Robert Coves","Gonzalez, Cameron and Arnold","US","(915)197-3724x655","405dc9e6a841018b5bd5ea2d07bf85b8",97306,"Morseview","71-2908636","smithronnie@gmail.com","Gonzalez, Cameron and Arnold"," "
2333868704,"Caldwell, Butler and Haas","Sherry Wilson","Caldwell, Butler and Haas","Canada","T6H1T5","Telecommunications researcher","wilsonamy@gmail.com","-45.516686:-137.639026","+1 (260) 699-6603","5215 Vanessa Trace","Nova Scotia","709.755.2307","South Andrewland","Suite 718","18-7920804","67ec830dcc1dfd1adcdfaa0283481ccf","Bush PLC"
"Lake Michael","Griffin-Nelson","YT","Television/film/video producer","Charles Lowe","Garrison, Hall and Schneider","6362 Nichole Run","232ef57e320c61f899596d3ab88d6331","96-2934851","X7J7R7","Apt. 902","-0.355987:98.428300","Mitchell, Brown and Davis","764 344 5920",1814058436,"Can","833.149.2872","whitejill@nicholson.com"
"Serrano-Taylor","Suite 070","Canada","robert61@hotmail.com","Chase Johnson","Tax inspector","1-729-076-7168","Boyd-Walker","5020 Morgan Orchard","1eeb83848c1db46fdf50a3ff7cbc5dae","Doyle and Sons","Bobbytown","-65.992846:5.953080","57-1322758","802 591 2422","Manitoba",6353394215,"S8A1G3"
"Alberta"," ","Mental health nurse","+1 (631) 736-5825","382933318a4461dd9be971f3df5059cf",1137636054,"391-843-1791 x739","Rodgers Inc","CA","zdavila@hotmail.com","32.638736:169.004626","V5C5C3","Josephland","767 Brooks Extensions Suite 213","Karen Turner","87-4696858","Serrano-Davis","Rodgers Inc"
4772958831,"Gregorystad","74cb383b066759f1242e5e3134af2e83","United States of America","Joseph Jones","Louisiana","brownwilliam@robinson.net","Hernandez-Fuller","Hernandez-Fuller","023-521-1549","Freeman Group","3180 Christian Fort","30.3983315:-50.741598"," ","Public house manager",67157,"197-260-8678x34944","32-1397330"
"Moore LLC","Environmental manager","428 101 1445","Nunez Ltd","67-6113786","E8B9L2","81.8287045:48.889474"," ","Stacy Nolan","Nunez Ltd","CA",9768440145,"Port Chelseaton","(547) 673-9415 x978","9ddd73452ea2827eed028f30dd73bc14","3596 Campbell Branch Suite 055","YT","johnny25@gmail.com"
"Electrical engineer","-69.0265385:123.557069","Gutierrez, Everett and Fuller"," ","U.S.A","150 Gomez Green Suite 078","Stanton, Raymond and Sweeney","809.807.8989x46240","fedd97d62aed0624f99c25a7ec3230ac","Richard Sanchez","briandavis@shepherd-scott.info",75060,"Crystalfurt","Stanton, Raymond and Sweeney","11-6846080","231-031-8125x394","AS",3529476826
"(244) 360-1737",4814849948,"Apt. 630","Edwards-Butler","A7V6R6","Peter Miller","38-5026858","Williams Inc","523 Huerta Mission","MB","dvincent@steele.com","bb6d81ebc389ab2ca25f0520b382ecbd","New Gabriel","Fernandez, Curry and Mcclure","Astronomer","CA","-5.426346:150.154872","+1 (716) 328-3104"
"(866) 475-2365 x617","81.643315:109.298942","1-701-240-3723","25d59cf6787285f69dc907fa73e40959","davilabrandon@thompson-white.com"," ","Prince Edward Island","CA","Collins, Davis and Bailey","Powellmouth","Paul Washington","55-3265928","Kelly LLC","Carlson-Johnson","V6G1V2","539 Sandra Squares Apt. 029",4664582848,"Therapist, occupational"
"Richardson LLC","Martinez-Miller","Peters Inc",5834081407,"Brandy Clark","8775 Cameron Meadow Apt. 117"," ","-0.2864465:-130.766946","49-6250251","james41@huynh.org","+1 (294) 144-6686","South Jeffrey","(843) 082-1418 x733","Y1S6K5","NL","Canada","a4a1c8913b7c90cf4a6975d6329b7688","Broadcast engineer"
"1-115-058-2272","Sims-Johnson","Aaron Bailey","Marshall-Duncan","1-349-263-3720","c483075b7211b70332f59af75b8da054","United States of America","Apt. 845","8696 William Walk",9755258708,"Shaffer Group","Rhode Island","South Nicholas",92093,"paul64@hotmail.com","Designer, jewellery","82.662853:57.813519","61-9816879"
"4d772c12db7445cb57c526deb4c7eb75","(170)997-4236x961","Moore-Baker","smoran@hobbs-frazier.org","28-4158693","Product designer","-7.2975405:-109.281814","Andrew Morris","United States of America",2238395848,"Suite 800",68474,"Gomez-Williams","9684 Greer Pine","1-952-314-8336x972","Oklahoma","Ross and Sons","New Elizabethshire"
"724 Patrick Flats Suite 994","20-7371387","Jones, Wilson and Spencer","943aa1a14e2b03ed0c906cb5f3eeace1","Canada","Lewisshire","H4T3P4","Jones, Ray and Smith","MB",1514583457,"Taylor Harris","+1 (807) 591-0270","Media buyer"," ","-16.500601:43.026134","1 (433) 826-0141","Jones, Ray and Smith","gbauer@dunn.net"
"397-937-4693 x963","Theatre director","787-089-3580 x574","30-4542086","5d65b9e1204b97b9a68225e78139d953","Shortstad","Dunlap-Swanson","Lamb Inc",2295823695,"9184 Juan Shoals","A9N5M3","Holly Johnson","swade@jordan.com","CA","Martinez-Murillo","Nunavut","-4.731162:81.785845","Suite 512"
"88-4930619","1207 Jermaine Orchard Suite 186","Hernandez-Griffin","605.813.7790","larry89@parker-duran.info","-23.058560:-104.374601","United States of America","7dcd978647f65b9c06ce55e31cca5302","Washington","Andrew Ellis"," ","Richardtown",1605394561,"(120)538-1644x604","Martin, Johnson and Goodwin","Brown, Ferguson and Turner",02118,"English as a foreign language teacher"
"Matthew Henderson"," ","Reyes-Gutierrez","Adult nurse","57-7264710",8908188408,"1-310-027-5566","New Brunswick","Morton Inc","8a23b3d5647192f774870a372f1e905c","West Johnland","wharrington@gilbert.com","948-049-1500 x241","Canada","0543 Boone Parkways Apt. 692","67.581129:145.673221","K1E8M9","Bishop, Keith and Perez"
"douglas19@mitchell.com","Suite 686","+49(0)9005831520","53-4324882","Dalton-Lynch","978.093.8846x75010","CA",9246502891,"East Lee","Dalton-Lynch","Madison Larson","3175cb03335710d759bd870a2018d2de","5418 Williams Flat","71.046513:75.211084","Nunavut","E9M 9Y3","Primary school teacher","Johnson, Moran and Levine"
"-74.534241:43.946916","(655)801-2677x334","9751 Wood Valley","Dianaview",4378545140,"Johnson-Hardin","Interpreter","Stein, Mathis and Nichols","2e01f2a08927aa9e10994992f9fd73e5","awilliams@gmail.com","85-4652384","Suite 134","NB","(609) 691-6266 x039","Melissa Gonzalez","Johnson-Hardin","Y4E9L8","Canada"
"34-3939036","Lake Zachary","Karen Norris","G9L 8R5",7789035293,"Henson, Robles and Edwards","877-510-6793 x980","stacydavenport@hotmail.com"," ","b8e2d73f2b7fb0096fe9de93e5ff2d61","Acosta, Briggs and Butler","99960 Phillips Walks","Food technologist","1 (159) 952-5788","-30.6561725:-36.692259","Canada","Saskatchewan","Thomas Ltd"
"Massachusetts","Research officer, government","Jerry Hanson","Miranda PLC",8190750306,"Oconnor LLC","Lake Julieberg"," ",96847,"+1 (558) 380-3990","38d027dc6390cb0826e6b7bed2c88376","tthomas@may-mcpherson.org","912-296-5777","72.4377485:-136.335486","784 Steele Squares","Bell and Sons","37-8741216","U.S.A"
"+1 (779) 425-1780","christopher96@gmail.com","Shah-Cervantes","-7.6776695:-56.627911","Records manager","Whitehaven","Canada"," ","11-3971967","4181 Roach Square","Gray, Long and Blanchard","Johnny Bailey","Stevenson-Reyes","T6S 5L4","Prince Edward Island","(959) 147-0229 x587","1f99be6539a92bfb545a92c75d77221a",8911051885
57410,6255366556,"(934)086-8594x145","Mccormick-Pruitt","-78.331935:11.613567","Bruce PLC","West Oscar","Tennessee"," ","16-9523848","Robert Williams DDS","d596d34086d2192c3df5f3e9116ecb39","marilyn31@hotmail.com","2504 Butler Avenue","USA","(858)552-0128","Designer, fashion/clothing","Newman, Silva and Pruitt"
"Wyoming","Restaurant manager, fast food","Wolf, Garcia and Farmer","221-021-7113x9646","-48.2171785:-164.346609","(882)711-1570",53489,"Lucas, Mcdaniel and Humphrey","e7ca3a7f89b2097e18e578efc0b5271e","U.S."," ","Heidiberg","Wolf, Garcia and Farmer","3789 Christopher Rapids","17-4030202","Amanda Carr","jessejennings@dennis.com",7011751263
38834,"VA","-27.2423525:179.818125","Cristian Garcia","(398)549-5333","1-072-475-2998x64902","New Emilyside","21-1912532","Williams LLC","Geneticist, molecular","US","7210 Fox Route",4532458546,"Horton Ltd","Apt. 511","Horton Ltd","rodney96@brown.com","a1bccaedc60ec87cb2f6b05ec5f14644"
31154,"South Nicholasville","4959 Horn Stream","Engineer, water","71.031736:2.745691","90-5677372","Jacqueline Riley","Lewis PLC","Lewis PLC","(076)807-7392x41938","Apt. 534",8115579075,"tara82@mitchell.com","+1 (659) 341-8524","Iowa","U.S.","Roberts, Watson and Ray","35e75667eeeb7bb81528d3ede542245b"
"391-774-7828 x968","Jennifer Anderson","Wisconsin","Lake Jenniferville","3f4bb140d1e0f65f85bcb03a293962df","Scientific laboratory technician","USA","1 (537) 274-1486","igonzalez@griffin.com","Thompson-Arnold","4.4726695:107.813421",1245609973,"Coleman, Cochran and Shelton",44460,"31-6199827","591 Malone Wells","Suite 960","Coleman, Cochran and Shelton"
"C3C3J4","Canada","766cb78ef198e83610f53e9f6908e6da","1-970-802-2945"," ","Shannon Castillo","708 Bird Wells Apt. 391","Davis Ltd","87-4414337","60.4501445:-25.609960","220 535 6414",3613483941,"Barnes Inc","Alberta","Games developer","Barnes Inc","ayalagregory@graham-gonzalez.com","Port Patrickport"
"41e5c57bbf018b022ca6b29faa07380f","Johnhaven","NT","67-1599786","1 (501) 498-4789",05267270394,"Peters, Henderson and Evans"," ","Porter Group","68.666847:-11.769246","Katrina Nelson","Peters, Henderson and Evans","CA",4273585807,"820 Turner Landing Suite 346","Y1P 9V5","kgregory@bradshaw.info","Personnel officer"
"084 Johnson Loop","334.202.0523x60847"," ","65-7177534",3573449506,"Cook-Prince","CT","92b909443ac041545cf5ffaf8c628348","United States of America","Lake Eileenland","+56(2)9925460865","michelle82@mcdonald.biz","Location manager",96580,"64.806927:93.450379","Cook-Prince","Darren Mccullough","Perez-Simpson"
"022-148-4213","999-933-8750x231","Maryland","Gonzales, Russell and Barrett","12f5fd17f49df736564f78befc659be6","United States of America"," ",57643,"Bush, Leon and Wright",7080296719,"Advice worker","Hubbardland","66-9156381","-58.441042:-60.696911","timothylivingston@hotmail.com","Parrish, Johnson and Blackburn","Donald English","780 Peck Falls Suite 483"
"75-5237959",6461426903,"Ferguson-Bush","East Nathanmouth"," ","Andrew Fuller","503 204 4483","c288b8314bbb3a2402087de4a8d3b2c2","Canada","AB","759 Amy Pines","Y5G 4P4","Lee-Lawrence","Teacher, adult education","60.963439:149.187585","1-582-432-2095","Ferguson-Bush","thomashall@yahoo.com"
"Santana PLC","70.565689:100.325453","jessica20@gardner.com",90351,"6ee77723962203cf81c6219b66b87aa4"," ","U.S.",2627309753,"1 (830) 904-6063","Waters Inc","Waters Inc","Debra Morris","34-6350014","Massachusetts","045 Anthony Forks","861-305-7958 x366","Cytogeneticist","South Stevenchester"
"(800) 133-8542 x453","74d23107206c05b0f72411e6a9bc02e1","42-5418016","Arts development officer","uspencer@sutton-baker.com","Wood, Adkins and Daniel",2904717156,"V5C3B3","Robin Carter","Chang-Morton","2.498319:107.392920","Apt. 938","1-134-057-7710x38203","Canada","Lawson LLC","South Mikeland","1353 David Center","NT"
"Frost, Harrell and Russell","66-9329885","AR","-1.9006795:-64.999278"," ","754.598.3112x348",26663,"254-418-4876","941bb4f8fa20716c02efdf018ee6e241","USA","petermiller@king-phillips.com","Zacharybury","Roberts-Simon","Toxicologist","6376 Johnson Forest",7020861011,"Roberts-Simon","Ann Stewart PhD"
"Lindseyshire","26.8447195:-65.842349","Cain, Collins and Dickerson","2562 Johnson Lodge","725-086-2384 x221","366d861479145096c10020a0f116229c",07066983893,"paige25@yahoo.com","Virginia"," ","Banks LLC","Transport planner","Jim Chapman",9500697628,"Swanson, Camacho and Smith","U.S.","22-8279499",74008
"Daniel Patel","4b448e11d571a09c2a1ef1e4cbc27450","MT",6071999707,"-7.077615:79.938784","Banksberg","Designer, furniture","Suite 813","1-231-768-2532x7496","631.973.4489x708","Rodgers-Smith",79385,"27-1764401","Torres-Cervantes","3714 Timothy Mission","United States of America","patricia98@guzman-wilson.com","Rodgers-Smith"
"Robinson Inc"," ",7750475658,"P4C4H9","Leslie Shepherd","Investment banker, operational","7f423df8b009c678e96ebaf57f5086f9","NB","96-4537636","37.399017:172.074423","lperez@harding-avila.com","Robinson Inc","(541) 441-9222 x467","West Erikaton","Can","Franklin PLC","9906 Keith Branch Apt. 199","(725) 349-8973 x023"
" ",8017403616,"56.8669205:84.354857","Clinical embryologist","58-5936690","Garcia, Fisher and Ruiz","US","Garcia, Fisher and Ruiz","Jones, Mitchell and Hill","andrew49@hotmail.com","Janice Richards","South Kimberlystad","845-991-8139x50388","CA","29197 Griffin Village","1-449-050-3937","90b01124ccb633f11bc710418a4985f6",89729
"West Hannah","4067 Glenn Views Suite 242","-84.8047845:-85.222888",3456916563,"Pam Davis","zimmermanbrendan@frank-castro.info","Short-Cantu","Short-Cantu","Ontario","Conner-Jones","Can","fd6cfb84f06057a2abf1b05bb97f9f96",08355033202,"750 660 4617"," ","E3R 9A8","56-1526168","Sound technician, broadcasting/film/video"
"NL","C1Y7R8","Martin-Hamilton",4731433712,"1-612-592-1345","Jacqueline Bryant"," ","Gregory, Christian and Johnson","Martin-Hamilton","Canada","Pharmacist, hospital","North Brianafurt","5155 Brandon Summit Apt. 187","brandon53@yahoo.com","a326a3a80376f9544a756f6646bea92f","56.8137685:-92.745661","16-7883894","929-082-6348x0420"
"Donna Bailey","1-769-208-9950","69.3396075:113.091675","c5d69517ad2cd6da3c22af5007ce177b","USA","Adams LLC","Harris PLC","38-5196964",67061," ","Ariasburgh","Dietitian","158 Kelly Tunnel Apt. 160","Harris PLC","wolfemark@preston.com",5992680695,"OR","905.013.7397x494"
"-58.582200:83.532194","Ronald Lane","77a26a301ae1345be69b9fdfd8eb68a7","Warner Ltd",07048271755,"nathan78@yahoo.com",69097,"Johnson Ltd","7799 Andrew Walk","577-267-1396x57464","TX","Gardner, Fernandez and Mcdaniel","North Justin"," ","US","49-5695180","Therapeutic radiographer",2218868686
"mitchellmatthew@hotmail.com","Rocha, Curry and Davis","Perkins-Payne","1 (489) 309-1638","E6X 9N9","c5e1f27e39b93e92a1055737295ce5f9","Associate Professor","CA","216-780-4665","West Laura","6634 Jackson Radial","Rick Guerrero","Apt. 645",9869773958,"Kramer, Contreras and Jensen","-43.254285:-148.639966","24-2027014","NB"
"williamhill@taylor.com","Aguilar, Smith and Benjamin","Lake Janet","67876 Thompson Crest","+76(0)2035875910","Michele Burns",9085533193,"(446)336-4563x2072","65.7738555:-2.867263","Richmond-Levine","1dc908fa67ed98db9ab0370ecd1759d7","Avila-Jones","U.S.","Therapeutic radiographer","CO",21787,"84-5086734"," "
"Canada","69-7258443","NT","56356 Samuel Courts","1 (633) 999-8204","Bauer LLC","Christopher Carlson","Johnsonview","R6A 3V9","c7d1234506bbcde26483d26f60d24db3"," ","jack78@yahoo.com","(448) 891-2638 x598","Knapp, Schwartz and Wilson",8352332433,"66.2006725:-52.812325","Lawyer","Cox-Dennis"
